date,trend_index,version,geo_id,eu_id,year_week
2019-12-29,10,English,IT,IT,2019_52
2019-12-30,9,English,IT,IT,2019_1
2019-12-31,0,English,IT,IT,2019_1
2020-01-01,0,English,IT,IT,2020_1
2020-01-02,9,English,IT,IT,2020_1
2020-01-03,0,English,IT,IT,2020_1
2020-01-04,9,English,IT,IT,2020_1
2020-01-05,18,English,IT,IT,2020_1
2020-01-06,9,English,IT,IT,2020_2
2020-01-07,8,English,IT,IT,2020_2
2020-01-08,8,English,IT,IT,2020_2
2020-01-09,8,English,IT,IT,2020_2
2020-01-10,8,English,IT,IT,2020_2
2020-01-11,0,English,IT,IT,2020_2
2020-01-12,17,English,IT,IT,2020_2
2020-01-13,7,English,IT,IT,2020_3
2020-01-14,0,English,IT,IT,2020_3
2020-01-15,8,English,IT,IT,2020_3
2020-01-16,8,English,IT,IT,2020_3
2020-01-17,0,English,IT,IT,2020_3
2020-01-18,9,English,IT,IT,2020_3
2020-01-19,8,English,IT,IT,2020_3
2020-01-20,8,English,IT,IT,2020_4
2020-01-21,0,English,IT,IT,2020_4
2020-01-22,8,English,IT,IT,2020_4
2020-01-23,16,English,IT,IT,2020_4
2020-01-24,8,English,IT,IT,2020_4
2020-01-25,9,English,IT,IT,2020_4
2020-01-26,8,English,IT,IT,2020_4
2020-01-27,7,English,IT,IT,2020_5
2020-01-28,0,English,IT,IT,2020_5
2020-01-29,0,English,IT,IT,2020_5
2020-01-30,12,English,IT,IT,2020_5
2020-01-31,8,English,IT,IT,2020_5
2020-02-01,35,English,IT,IT,2020_5
2020-02-02,17,English,IT,IT,2020_5
2020-02-03,7,English,IT,IT,2020_6
2020-02-04,0,English,IT,IT,2020_6
2020-02-05,8,English,IT,IT,2020_6
2020-02-06,8,English,IT,IT,2020_6
2020-02-07,8,English,IT,IT,2020_6
2020-02-08,12,English,IT,IT,2020_6
2020-02-09,16,English,IT,IT,2020_6
2020-02-10,15,English,IT,IT,2020_7
2020-02-11,0,English,IT,IT,2020_7
2020-02-12,8,English,IT,IT,2020_7
2020-02-13,8,English,IT,IT,2020_7
2020-02-14,0,English,IT,IT,2020_7
2020-02-15,0,English,IT,IT,2020_7
2020-02-16,0,English,IT,IT,2020_7
2020-02-17,8,English,IT,IT,2020_8
2020-02-18,8,English,IT,IT,2020_8
2020-02-19,8,English,IT,IT,2020_8
2020-02-20,12,English,IT,IT,2020_8
2020-02-21,12,English,IT,IT,2020_8
2020-02-22,0,English,IT,IT,2020_8
2020-02-23,8,English,IT,IT,2020_8
2020-02-24,0,English,IT,IT,2020_9
2020-02-25,7,English,IT,IT,2020_9
2020-02-26,0,English,IT,IT,2020_9
2020-02-27,7,English,IT,IT,2020_9
2020-02-28,8,English,IT,IT,2020_9
2020-02-29,8,English,IT,IT,2020_9
2020-03-01,8,English,IT,IT,2020_9
2020-03-02,7,English,IT,IT,2020_10
2020-03-03,14,English,IT,IT,2020_10
2020-03-04,10,English,IT,IT,2020_10
2020-03-05,15,English,IT,IT,2020_10
2020-03-06,11,English,IT,IT,2020_10
2020-03-07,27,English,IT,IT,2020_10
2020-03-08,26,English,IT,IT,2020_10
2020-03-09,14,English,IT,IT,2020_11
2020-03-10,21,English,IT,IT,2020_11
2020-03-11,16,English,IT,IT,2020_11
2020-03-12,47,English,IT,IT,2020_11
2020-03-13,33,English,IT,IT,2020_11
2020-03-14,66,English,IT,IT,2020_11
2020-03-15,91,English,IT,IT,2020_11
2020-03-16,40,English,IT,IT,2020_12
2020-03-17,63,English,IT,IT,2020_12
2020-03-18,98,English,IT,IT,2020_12
2020-03-19,52,English,IT,IT,2020_12
2020-03-20,48,English,IT,IT,2020_12
2020-03-21,43,English,IT,IT,2020_12
2020-03-22,77,English,IT,IT,2020_12
2020-03-23,59,English,IT,IT,2020_13
2020-03-24,100,English,IT,IT,2020_13
2019-12-29,4,English,ES,ES,2019_52
2019-12-30,0,English,ES,ES,2019_1
2019-12-31,5,English,ES,ES,2019_1
2020-01-01,0,English,ES,ES,2020_1
2020-01-02,4,English,ES,ES,2020_1
2020-01-03,4,English,ES,ES,2020_1
2020-01-04,8,English,ES,ES,2020_1
2020-01-05,4,English,ES,ES,2020_1
2020-01-06,4,English,ES,ES,2020_2
2020-01-07,5,English,ES,ES,2020_2
2020-01-08,3,English,ES,ES,2020_2
2020-01-09,3,English,ES,ES,2020_2
2020-01-10,7,English,ES,ES,2020_2
2020-01-11,4,English,ES,ES,2020_2
2020-01-12,9,English,ES,ES,2020_2
2020-01-13,3,English,ES,ES,2020_3
2020-01-14,3,English,ES,ES,2020_3
2020-01-15,3,English,ES,ES,2020_3
2020-01-16,3,English,ES,ES,2020_3
2020-01-17,3,English,ES,ES,2020_3
2020-01-18,0,English,ES,ES,2020_3
2020-01-19,5,English,ES,ES,2020_3
2020-01-20,6,English,ES,ES,2020_4
2020-01-21,0,English,ES,ES,2020_4
2020-01-22,5,English,ES,ES,2020_4
2020-01-23,3,English,ES,ES,2020_4
2020-01-24,3,English,ES,ES,2020_4
2020-01-25,4,English,ES,ES,2020_4
2020-01-26,3,English,ES,ES,2020_4
2020-01-27,3,English,ES,ES,2020_5
2020-01-28,5,English,ES,ES,2020_5
2020-01-29,3,English,ES,ES,2020_5
2020-01-30,3,English,ES,ES,2020_5
2020-01-31,4,English,ES,ES,2020_5
2020-02-01,0,English,ES,ES,2020_5
2020-02-02,9,English,ES,ES,2020_5
2020-02-03,4,English,ES,ES,2020_6
2020-02-04,3,English,ES,ES,2020_6
2020-02-05,3,English,ES,ES,2020_6
2020-02-06,3,English,ES,ES,2020_6
2020-02-07,5,English,ES,ES,2020_6
2020-02-08,6,English,ES,ES,2020_6
2020-02-09,4,English,ES,ES,2020_6
2020-02-10,3,English,ES,ES,2020_7
2020-02-11,3,English,ES,ES,2020_7
2020-02-12,5,English,ES,ES,2020_7
2020-02-13,3,English,ES,ES,2020_7
2020-02-14,3,English,ES,ES,2020_7
2020-02-15,8,English,ES,ES,2020_7
2020-02-16,5,English,ES,ES,2020_7
2020-02-17,6,English,ES,ES,2020_8
2020-02-18,8,English,ES,ES,2020_8
2020-02-19,3,English,ES,ES,2020_8
2020-02-20,5,English,ES,ES,2020_8
2020-02-21,4,English,ES,ES,2020_8
2020-02-22,4,English,ES,ES,2020_8
2020-02-23,4,English,ES,ES,2020_8
2020-02-24,3,English,ES,ES,2020_9
2020-02-25,6,English,ES,ES,2020_9
2020-02-26,6,English,ES,ES,2020_9
2020-02-27,5,English,ES,ES,2020_9
2020-02-28,10,English,ES,ES,2020_9
2020-02-29,4,English,ES,ES,2020_9
2020-03-01,3,English,ES,ES,2020_9
2020-03-02,4,English,ES,ES,2020_10
2020-03-03,3,English,ES,ES,2020_10
2020-03-04,0,English,ES,ES,2020_10
2020-03-05,5,English,ES,ES,2020_10
2020-03-06,3,English,ES,ES,2020_10
2020-03-07,0,English,ES,ES,2020_10
2020-03-08,3,English,ES,ES,2020_10
2020-03-09,3,English,ES,ES,2020_11
2020-03-10,3,English,ES,ES,2020_11
2020-03-11,5,English,ES,ES,2020_11
2020-03-12,3,English,ES,ES,2020_11
2020-03-13,6,English,ES,ES,2020_11
2020-03-14,10,English,ES,ES,2020_11
2020-03-15,13,English,ES,ES,2020_11
